# Distribution of insert lengths
# Length Number Fraction
100 1505 0.0002
101 1447 0.0002
102 1401 0.0002
103 1427 0.0002
104 1541 0.0002
105 1877 0.0002
106 1818 0.0002
107 2024 0.0002
108 2663 0.0003
109 3065 0.0004
110 3655 0.0004
111 4467 0.0005
112 6451 0.0008
113 8279 0.0010
114 11121 0.0013
115 14672 0.0018
116 19509 0.0023
117 24234 0.0029
118 29721 0.0036
119 35922 0.0043
120 44177 0.0053
121 53625 0.0064
122 62191 0.0074
123 72365 0.0087
124 84395 0.0101
125 93118 0.0111
126 100675 0.0120
127 107719 0.0129
128 112410 0.0135
129 128227 0.0153
130 135748 0.0162
131 147166 0.0176
132 160417 0.0192
133 160912 0.0193
134 160031 0.0192
135 164757 0.0197
136 160970 0.0193
137 167635 0.0201
138 165374 0.0198
139 178056 0.0213
140 176954 0.0212
141 167995 0.0201
142 162894 0.0195
143 166693 0.0199
144 157640 0.0189
145 156386 0.0187
146 172639 0.0207
147 155660 0.0186
148 160708 0.0192
149 158689 0.0190
150 155543 0.0186
151 149912 0.0179
152 145130 0.0174
153 147360 0.0176
154 146622 0.0175
155 144007 0.0172
156 141309 0.0169
157 145960 0.0175
158 140130 0.0168
159 133395 0.0160
160 134630 0.0161
161 125745 0.0150
162 124881 0.0149
163 137767 0.0165
164 130149 0.0156
165 118174 0.0141
166 125117 0.0150
167 123593 0.0148
168 119217 0.0143
169 113614 0.0136
170 112799 0.0135
171 106945 0.0128
172 103463 0.0124
173 103429 0.0124
174 99661 0.0119
175 95921 0.0115
176 87717 0.0105
177 79545 0.0095
178 75977 0.0091
179 68332 0.0082
180 59389 0.0071
181 60862 0.0073
182 52835 0.0063
183 45677 0.0055
184 39999 0.0048
185 34962 0.0042
186 31485 0.0038
187 26699 0.0032
188 21623 0.0026
189 17332 0.0021
190 13861 0.0017
191 10800 0.0013
192 8296 0.0010
193 6777 0.0008
194 4885 0.0006
195 3734 0.0004
196 2743 0.0003
197 1927 0.0002
198 1321 0.0002
199 1007 0.0001
200 809 0.0001
