# Distribution of insert lengths
# Length Number Fraction
100 53388 0.0048
101 58521 0.0053
102 62542 0.0057
103 70232 0.0064
104 82782 0.0075
105 94125 0.0085
106 98003 0.0089
107 103924 0.0094
108 124759 0.0113
109 126535 0.0114
110 127303 0.0115
111 128075 0.0116
112 145362 0.0131
113 148863 0.0135
114 157301 0.0142
115 166375 0.0151
116 171191 0.0155
117 177861 0.0161
118 175585 0.0159
119 177607 0.0161
120 181721 0.0164
121 188000 0.0170
122 185347 0.0168
123 189086 0.0171
124 189744 0.0172
125 189203 0.0171
126 183896 0.0166
127 175269 0.0159
128 168394 0.0152
129 175294 0.0159
130 175371 0.0159
131 176412 0.0160
132 183920 0.0166
133 175975 0.0159
134 168978 0.0153
135 164915 0.0149
136 157957 0.0143
137 160981 0.0146
138 155071 0.0140
139 162541 0.0147
140 161890 0.0146
141 152107 0.0138
142 146501 0.0133
143 148255 0.0134
144 140317 0.0127
145 140600 0.0127
146 151956 0.0137
147 138757 0.0126
148 140854 0.0127
149 139396 0.0126
150 136534 0.0124
151 131691 0.0119
152 128365 0.0116
153 127672 0.0115
154 127702 0.0116
155 122935 0.0111
156 121259 0.0110
157 125819 0.0114
158 120106 0.0109
159 113614 0.0103
160 116697 0.0106
161 106999 0.0097
162 104503 0.0095
163 114857 0.0104
164 109138 0.0099
165 100823 0.0091
166 102634 0.0093
167 101834 0.0092
168 101596 0.0092
169 94446 0.0085
170 94457 0.0085
171 90816 0.0082
172 86882 0.0079
173 87812 0.0079
174 84254 0.0076
175 83028 0.0075
176 76564 0.0069
177 69609 0.0063
178 70276 0.0064
179 63182 0.0057
180 56330 0.0051
181 58301 0.0053
182 52215 0.0047
183 45933 0.0042
184 42499 0.0038
185 39001 0.0035
186 36374 0.0033
187 31916 0.0029
188 28275 0.0026
189 24125 0.0022
190 20844 0.0019
191 17523 0.0016
192 14700 0.0013
193 13341 0.0012
194 11346 0.0010
195 9242 0.0008
196 7371 0.0007
197 5870 0.0005
198 4370 0.0004
