# File listing the fraction of all mutations that are found greater than or equal to n times.
# There are 31311 total all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.1522	0.9965	0.2582	0.1554
2	0.1373	0.9921	0.2076	0.1434
3	0.1317	0.9855	0.1904	0.1407
4	0.1264	0.9776	0.1806	0.1384
5	0.1233	0.9678	0.1735	0.1362
6	0.1207	0.9573	0.1678	0.1335
7	0.1186	0.9451	0.1625	0.1305
8	0.1173	0.9321	0.1576	0.1281
9	0.1158	0.9169	0.1535	0.1257
10	0.1146	0.9006	0.1501	0.1236
11	0.1133	0.8841	0.1467	0.1215
12	0.1121	0.8673	0.1436	0.1192
13	0.1107	0.8494	0.1404	0.1172
14	0.1095	0.8317	0.1374	0.1156
15	0.1081	0.8134	0.1350	0.1141
16	0.1064	0.7937	0.1330	0.1119
17	0.1049	0.7730	0.1310	0.1100
18	0.1031	0.7524	0.1289	0.1084
19	0.1017	0.7324	0.1268	0.1070
20	0.0999	0.7119	0.1246	0.1055
21	0.0980	0.6921	0.1226	0.1039
22	0.0964	0.6712	0.1205	0.1028
23	0.0948	0.6503	0.1185	0.1011
24	0.0935	0.6321	0.1167	0.0999
25	0.0919	0.6150	0.1150	0.0979
26	0.0906	0.5967	0.1129	0.0964
27	0.0896	0.5785	0.1112	0.0947
28	0.0883	0.5600	0.1097	0.0932
29	0.0869	0.5414	0.1081	0.0916
30	0.0855	0.5246	0.1067	0.0902
31	0.0843	0.5086	0.1052	0.0891
32	0.0830	0.4930	0.1037	0.0880
33	0.0819	0.4772	0.1026	0.0872
34	0.0809	0.4616	0.1017	0.0861
35	0.0797	0.4470	0.1003	0.0851
36	0.0785	0.4324	0.0989	0.0845
37	0.0773	0.4190	0.0974	0.0833
38	0.0764	0.4049	0.0965	0.0826
39	0.0754	0.3916	0.0955	0.0819
40	0.0742	0.3788	0.0943	0.0811
41	0.0729	0.3666	0.0928	0.0806
42	0.0720	0.3545	0.0917	0.0796
43	0.0710	0.3434	0.0910	0.0786
44	0.0700	0.3323	0.0898	0.0776
45	0.0688	0.3221	0.0887	0.0767
46	0.0678	0.3111	0.0880	0.0758
47	0.0665	0.3015	0.0872	0.0748
48	0.0654	0.2921	0.0864	0.0740
49	0.0647	0.2838	0.0852	0.0733
50	0.0640	0.2753	0.0845	0.0723
