# File listing the fraction of syn mutations that are found greater than or equal to n times.
# There are 1272 total syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.7594	0.9984	0.8381	0.7642
2	0.7382	0.9976	0.8090	0.7571
3	0.7138	0.9921	0.7980	0.7516
4	0.6950	0.9874	0.7807	0.7421
5	0.6769	0.9827	0.7704	0.7327
6	0.6580	0.9796	0.7586	0.7201
7	0.6415	0.9796	0.7476	0.7123
8	0.6289	0.9748	0.7358	0.7013
9	0.6203	0.9741	0.7264	0.6887
10	0.6140	0.9678	0.7146	0.6792
11	0.6046	0.9615	0.7020	0.6619
12	0.6006	0.9560	0.6903	0.6541
13	0.5991	0.9536	0.6824	0.6439
14	0.5959	0.9481	0.6745	0.6336
15	0.5920	0.9458	0.6667	0.6266
16	0.5873	0.9387	0.6580	0.6156
17	0.5841	0.9277	0.6549	0.6085
18	0.5755	0.9198	0.6486	0.6046
19	0.5708	0.9119	0.6423	0.5991
20	0.5668	0.9025	0.6352	0.5912
21	0.5629	0.8986	0.6297	0.5865
22	0.5574	0.8915	0.6234	0.5794
23	0.5472	0.8797	0.6187	0.5747
24	0.5393	0.8726	0.6124	0.5700
25	0.5354	0.8640	0.6069	0.5637
26	0.5291	0.8585	0.6022	0.5582
27	0.5236	0.8522	0.5975	0.5480
28	0.5157	0.8412	0.5951	0.5401
29	0.5110	0.8333	0.5873	0.5330
30	0.5039	0.8263	0.5818	0.5291
31	0.4969	0.8184	0.5747	0.5252
32	0.4921	0.8027	0.5708	0.5197
33	0.4882	0.7932	0.5676	0.5165
34	0.4843	0.7877	0.5660	0.5134
35	0.4803	0.7822	0.5605	0.5079
36	0.4764	0.7744	0.5542	0.5063
37	0.4733	0.7704	0.5456	0.5000
38	0.4693	0.7634	0.5409	0.4992
39	0.4646	0.7547	0.5377	0.4976
40	0.4568	0.7508	0.5346	0.4937
41	0.4513	0.7437	0.5275	0.4906
42	0.4465	0.7351	0.5220	0.4858
43	0.4340	0.7248	0.5204	0.4811
44	0.4245	0.7209	0.5197	0.4780
45	0.4198	0.7170	0.5165	0.4748
46	0.4151	0.7083	0.5149	0.4686
47	0.4088	0.7060	0.5126	0.4623
48	0.4033	0.7005	0.5110	0.4583
49	0.3986	0.6918	0.5039	0.4544
50	0.3947	0.6887	0.4984	0.4505
