# Distribution of insert lengths
# Length Number Fraction
100 1378 0.0002
101 1371 0.0002
102 1350 0.0002
103 1348 0.0002
104 1550 0.0002
105 1736 0.0002
106 1754 0.0002
107 2067 0.0002
108 2669 0.0003
109 3202 0.0004
110 3913 0.0004
111 4986 0.0006
112 6957 0.0008
113 9140 0.0010
114 12078 0.0014
115 16454 0.0019
116 21238 0.0024
117 27016 0.0030
118 32512 0.0037
119 39624 0.0045
120 49011 0.0055
121 59198 0.0067
122 68535 0.0077
123 79821 0.0090
124 92634 0.0104
125 102870 0.0116
126 110683 0.0125
127 118186 0.0133
128 123714 0.0139
129 139591 0.0157
130 149385 0.0168
131 159143 0.0179
132 173106 0.0195
133 176163 0.0199
134 174709 0.0197
135 178815 0.0202
136 175218 0.0197
137 181846 0.0205
138 179022 0.0202
139 187808 0.0212
140 189056 0.0213
141 181065 0.0204
142 175579 0.0198
143 178527 0.0201
144 169719 0.0191
145 169096 0.0191
146 182760 0.0206
147 166140 0.0187
148 171823 0.0194
149 168878 0.0190
150 164332 0.0185
151 158861 0.0179
152 154610 0.0174
153 154956 0.0175
154 154275 0.0174
155 151053 0.0170
156 149187 0.0168
157 152841 0.0172
158 147533 0.0166
159 140386 0.0158
160 142343 0.0160
161 131578 0.0148
162 130458 0.0147
163 142465 0.0161
164 135959 0.0153
165 123942 0.0140
166 127778 0.0144
167 127840 0.0144
168 125137 0.0141
169 118566 0.0134
170 116818 0.0132
171 110845 0.0125
172 106235 0.0120
173 105547 0.0119
174 101884 0.0115
175 97818 0.0110
176 89844 0.0101
177 81412 0.0092
178 78197 0.0088
179 70290 0.0079
180 60205 0.0068
181 61196 0.0069
182 53812 0.0061
183 46169 0.0052
184 40932 0.0046
185 35861 0.0040
186 32052 0.0036
187 27211 0.0031
188 22230 0.0025
189 17531 0.0020
190 14268 0.0016
191 11179 0.0013
192 8610 0.0010
193 6957 0.0008
194 5121 0.0006
195 3779 0.0004
196 2775 0.0003
197 1973 0.0002
198 1346 0.0002
199 1027 0.0001
200 731 0.0001
