# Distribution of insert lengths
# Length Number Fraction
100 54037 0.0047
101 59567 0.0052
102 63447 0.0056
103 70791 0.0062
104 83716 0.0074
105 95132 0.0084
106 99355 0.0087
107 105101 0.0092
108 125494 0.0110
109 128823 0.0113
110 129546 0.0114
111 129412 0.0114
112 149606 0.0131
113 150753 0.0132
114 159578 0.0140
115 170394 0.0150
116 173263 0.0152
117 179228 0.0158
118 177624 0.0156
119 180211 0.0158
120 183804 0.0162
121 189740 0.0167
122 186691 0.0164
123 190737 0.0168
124 192600 0.0169
125 191900 0.0169
126 185553 0.0163
127 177601 0.0156
128 171382 0.0151
129 180012 0.0158
130 179577 0.0158
131 179730 0.0158
132 188135 0.0165
133 179312 0.0158
134 171237 0.0150
135 168331 0.0148
136 160273 0.0141
137 164354 0.0144
138 158646 0.0139
139 164584 0.0145
140 167462 0.0147
141 155754 0.0137
142 151409 0.0133
143 151569 0.0133
144 143590 0.0126
145 143799 0.0126
146 156545 0.0138
147 142412 0.0125
148 146213 0.0128
149 143506 0.0126
150 140833 0.0124
151 136382 0.0120
152 133202 0.0117
153 131929 0.0116
154 132935 0.0117
155 128590 0.0113
156 127182 0.0112
157 131274 0.0115
158 125448 0.0110
159 119350 0.0105
160 121623 0.0107
161 111981 0.0098
162 110234 0.0097
163 121921 0.0107
164 115938 0.0102
165 106460 0.0094
166 108541 0.0095
167 106894 0.0094
168 106999 0.0094
169 100661 0.0088
170 100502 0.0088
171 95808 0.0084
172 91653 0.0081
173 93286 0.0082
174 89803 0.0079
175 88310 0.0078
176 81648 0.0072
177 74008 0.0065
178 74170 0.0065
179 67843 0.0060
180 59575 0.0052
181 62465 0.0055
182 55826 0.0049
183 48868 0.0043
184 45747 0.0040
185 41902 0.0037
186 38315 0.0034
187 34034 0.0030
188 29683 0.0026
189 25741 0.0023
190 21841 0.0019
191 18401 0.0016
192 15643 0.0014
193 14110 0.0012
194 11899 0.0010
195 9578 0.0008
196 7626 0.0007
197 6254 0.0005
198 4742 0.0004
