# Distribution of insert lengths
# Length Number Fraction
100 49817 0.0047
101 54287 0.0051
102 58213 0.0055
103 65158 0.0061
104 76436 0.0072
105 87067 0.0082
106 91020 0.0086
107 95902 0.0090
108 115230 0.0108
109 117456 0.0110
110 117862 0.0111
111 119331 0.0112
112 135872 0.0128
113 139334 0.0131
114 146704 0.0138
115 155446 0.0146
116 159337 0.0150
117 165190 0.0155
118 164288 0.0154
119 167261 0.0157
120 171008 0.0161
121 176031 0.0166
122 174882 0.0164
123 177614 0.0167
124 178478 0.0168
125 178622 0.0168
126 173154 0.0163
127 166990 0.0157
128 160711 0.0151
129 168412 0.0158
130 167214 0.0157
131 166616 0.0157
132 174196 0.0164
133 166999 0.0157
134 160818 0.0151
135 159007 0.0149
136 152026 0.0143
137 154134 0.0145
138 149223 0.0140
139 155644 0.0146
140 156364 0.0147
141 146185 0.0137
142 142450 0.0134
143 143886 0.0135
144 136810 0.0129
145 136590 0.0128
146 147240 0.0138
147 134923 0.0127
148 136157 0.0128
149 135939 0.0128
150 133286 0.0125
151 129015 0.0121
152 125965 0.0118
153 125499 0.0118
154 126003 0.0118
155 120945 0.0114
156 120130 0.0113
157 123926 0.0117
158 118338 0.0111
159 112591 0.0106
160 114418 0.0108
161 106239 0.0100
162 104903 0.0099
163 114420 0.0108
164 108724 0.0102
165 100864 0.0095
166 101882 0.0096
167 101066 0.0095
168 101014 0.0095
169 95477 0.0090
170 94278 0.0089
171 90558 0.0085
172 86676 0.0081
173 87761 0.0083
174 84238 0.0079
175 82960 0.0078
176 76769 0.0072
177 70045 0.0066
178 69605 0.0065
179 63618 0.0060
180 56112 0.0053
181 58475 0.0055
182 51896 0.0049
183 45593 0.0043
184 42713 0.0040
185 39144 0.0037
186 35639 0.0034
187 31516 0.0030
188 27539 0.0026
189 23914 0.0022
190 20147 0.0019
191 17380 0.0016
192 14967 0.0014
193 13011 0.0012
194 10919 0.0010
195 8942 0.0008
196 7182 0.0007
197 5836 0.0005
198 4295 0.0004
