# File listing the fraction of multi-nt-all mutations that are found greater than or equal to n times.
# There are 26838 total multi-nt-all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.4449	0.9961	0.5790	0.2545
2	0.1543	0.9924	0.4377	0.0566
3	0.0477	0.9878	0.3600	0.0155
4	0.0143	0.9830	0.3108	0.0061
5	0.0046	0.9765	0.2735	0.0035
6	0.0016	0.9687	0.2471	0.0024
7	0.0005	0.9608	0.2253	0.0015
8	0.0003	0.9521	0.2069	0.0013
9	0.0001	0.9423	0.1914	0.0010
10	0.0001	0.9321	0.1789	0.0009
11	0.0001	0.9208	0.1668	0.0007
12	0.0001	0.9090	0.1585	0.0006
13	0.0001	0.8957	0.1502	0.0006
14	0.0001	0.8822	0.1435	0.0006
15	0.0001	0.8692	0.1367	0.0006
16	0.0001	0.8549	0.1303	0.0005
17	0.0001	0.8401	0.1252	0.0004
18	0.0001	0.8246	0.1205	0.0004
19	0.0001	0.8095	0.1156	0.0004
20	0.0001	0.7923	0.1116	0.0003
21	0.0001	0.7776	0.1074	0.0003
22	0.0001	0.7611	0.1036	0.0003
23	0.0001	0.7430	0.1002	0.0003
24	0.0001	0.7260	0.0968	0.0003
25	0.0001	0.7074	0.0937	0.0002
26	0.0001	0.6902	0.0910	0.0002
27	0.0001	0.6728	0.0887	0.0002
28	0.0001	0.6565	0.0863	0.0002
29	0.0001	0.6396	0.0838	0.0002
30	0.0001	0.6212	0.0813	0.0002
31	0.0001	0.6047	0.0794	0.0002
32	0.0001	0.5877	0.0771	0.0002
33	0.0001	0.5711	0.0752	0.0002
34	0.0001	0.5543	0.0734	0.0002
35	0.0001	0.5377	0.0715	0.0002
36	0.0001	0.5214	0.0698	0.0002
37	0.0000	0.5062	0.0684	0.0002
38	0.0000	0.4914	0.0670	0.0002
39	0.0000	0.4776	0.0654	0.0002
40	0.0000	0.4614	0.0638	0.0002
41	0.0000	0.4465	0.0623	0.0002
42	0.0000	0.4326	0.0608	0.0002
43	0.0000	0.4185	0.0596	0.0002
44	0.0000	0.4052	0.0585	0.0002
45	0.0000	0.3918	0.0573	0.0002
46	0.0000	0.3788	0.0564	0.0002
47	0.0000	0.3659	0.0552	0.0002
48	0.0000	0.3541	0.0544	0.0002
49	0.0000	0.3424	0.0531	0.0002
50	0.0000	0.3304	0.0524	0.0002
