# File listing the fraction of multi-nt-syn mutations that are found greater than or equal to n times.
# There are 297 total multi-nt-syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.4579	0.9933	0.7980	0.2727
2	0.1380	0.9933	0.6734	0.0606
3	0.0370	0.9899	0.5825	0.0337
4	0.0202	0.9798	0.5522	0.0236
5	0.0067	0.9764	0.5051	0.0101
6	0.0000	0.9663	0.4747	0.0034
7	0.0000	0.9663	0.4512	0.0034
8	0.0000	0.9461	0.4343	0.0034
9	0.0000	0.9327	0.4141	0.0000
10	0.0000	0.9293	0.3872	0.0000
11	0.0000	0.9226	0.3704	0.0000
12	0.0000	0.9091	0.3502	0.0000
13	0.0000	0.8956	0.3401	0.0000
14	0.0000	0.8889	0.3333	0.0000
15	0.0000	0.8653	0.3199	0.0000
16	0.0000	0.8350	0.3098	0.0000
17	0.0000	0.8182	0.2963	0.0000
18	0.0000	0.8013	0.2862	0.0000
19	0.0000	0.7879	0.2795	0.0000
20	0.0000	0.7778	0.2761	0.0000
21	0.0000	0.7609	0.2593	0.0000
22	0.0000	0.7407	0.2593	0.0000
23	0.0000	0.7205	0.2559	0.0000
24	0.0000	0.7172	0.2424	0.0000
25	0.0000	0.7172	0.2357	0.0000
26	0.0000	0.7037	0.2357	0.0000
27	0.0000	0.6936	0.2290	0.0000
28	0.0000	0.6768	0.2290	0.0000
29	0.0000	0.6566	0.2256	0.0000
30	0.0000	0.6431	0.2222	0.0000
31	0.0000	0.6195	0.2189	0.0000
32	0.0000	0.5926	0.2155	0.0000
33	0.0000	0.5758	0.2155	0.0000
34	0.0000	0.5556	0.2121	0.0000
35	0.0000	0.5354	0.2054	0.0000
36	0.0000	0.5084	0.2054	0.0000
37	0.0000	0.4949	0.2054	0.0000
38	0.0000	0.4848	0.2054	0.0000
39	0.0000	0.4781	0.2020	0.0000
40	0.0000	0.4579	0.1919	0.0000
41	0.0000	0.4276	0.1852	0.0000
42	0.0000	0.4040	0.1852	0.0000
43	0.0000	0.3939	0.1852	0.0000
44	0.0000	0.3838	0.1818	0.0000
45	0.0000	0.3704	0.1751	0.0000
46	0.0000	0.3670	0.1684	0.0000
47	0.0000	0.3502	0.1684	0.0000
48	0.0000	0.3367	0.1684	0.0000
49	0.0000	0.3300	0.1582	0.0000
50	0.0000	0.3199	0.1582	0.0000
