# File listing the fraction of all mutations that are found greater than or equal to n times.
# There are 31311 total all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.5233	0.9967	0.6390	0.3609
2	0.2722	0.9935	0.5179	0.1909
3	0.1781	0.9895	0.4509	0.1551
4	0.1459	0.9853	0.4084	0.1461
5	0.1340	0.9797	0.3757	0.1430
6	0.1286	0.9729	0.3524	0.1407
7	0.1252	0.9661	0.3325	0.1387
8	0.1229	0.9585	0.3158	0.1365
9	0.1213	0.9499	0.3015	0.1346
10	0.1199	0.9409	0.2894	0.1326
11	0.1189	0.9312	0.2781	0.1306
12	0.1178	0.9210	0.2696	0.1289
13	0.1168	0.9095	0.2615	0.1276
14	0.1162	0.8978	0.2550	0.1260
15	0.1153	0.8863	0.2482	0.1240
16	0.1144	0.8738	0.2415	0.1228
17	0.1135	0.8609	0.2364	0.1215
18	0.1130	0.8475	0.2312	0.1199
19	0.1121	0.8341	0.2260	0.1188
20	0.1116	0.8191	0.2218	0.1175
21	0.1104	0.8062	0.2174	0.1159
22	0.1093	0.7920	0.2129	0.1142
23	0.1085	0.7761	0.2091	0.1127
24	0.1072	0.7612	0.2051	0.1115
25	0.1060	0.7447	0.2012	0.1105
26	0.1052	0.7297	0.1980	0.1095
27	0.1038	0.7145	0.1955	0.1085
28	0.1024	0.7002	0.1926	0.1069
29	0.1011	0.6850	0.1897	0.1056
30	0.1002	0.6688	0.1865	0.1043
31	0.0988	0.6544	0.1838	0.1033
32	0.0975	0.6395	0.1809	0.1026
33	0.0962	0.6248	0.1783	0.1016
34	0.0946	0.6096	0.1759	0.1006
35	0.0937	0.5947	0.1732	0.0993
36	0.0925	0.5799	0.1706	0.0979
37	0.0914	0.5661	0.1685	0.0965
38	0.0904	0.5530	0.1663	0.0957
39	0.0892	0.5407	0.1636	0.0949
40	0.0881	0.5263	0.1612	0.0937
41	0.0871	0.5130	0.1591	0.0926
42	0.0857	0.5003	0.1570	0.0917
43	0.0849	0.4877	0.1551	0.0907
44	0.0839	0.4758	0.1535	0.0898
45	0.0830	0.4638	0.1517	0.0890
46	0.0820	0.4515	0.1504	0.0882
47	0.0812	0.4396	0.1485	0.0876
48	0.0800	0.4285	0.1469	0.0868
49	0.0793	0.4178	0.1447	0.0862
50	0.0785	0.4068	0.1433	0.0851
