# File listing the fraction of syn mutations that are found greater than or equal to n times.
# There are 1272 total syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.7689	0.9992	0.8986	0.7791
2	0.7476	0.9984	0.8671	0.7642
3	0.7296	0.9984	0.8585	0.7626
4	0.7107	0.9976	0.8428	0.7579
5	0.6934	0.9969	0.8381	0.7531
6	0.6808	0.9914	0.8286	0.7469
7	0.6643	0.9906	0.8200	0.7398
8	0.6541	0.9882	0.8066	0.7280
9	0.6478	0.9866	0.8019	0.7178
10	0.6431	0.9858	0.7893	0.7091
11	0.6329	0.9835	0.7791	0.6997
12	0.6219	0.9835	0.7712	0.6910
13	0.6148	0.9811	0.7657	0.6792
14	0.6124	0.9788	0.7602	0.6761
15	0.6077	0.9756	0.7539	0.6706
16	0.6046	0.9709	0.7484	0.6651
17	0.6030	0.9686	0.7437	0.6580
18	0.5998	0.9615	0.7374	0.6517
19	0.5983	0.9560	0.7296	0.6462
20	0.5943	0.9528	0.7233	0.6392
21	0.5896	0.9528	0.7138	0.6329
22	0.5881	0.9497	0.7099	0.6281
23	0.5833	0.9450	0.7044	0.6250
24	0.5794	0.9395	0.6997	0.6226
25	0.5763	0.9308	0.6981	0.6187
26	0.5747	0.9269	0.6887	0.6140
27	0.5684	0.9237	0.6855	0.6077
28	0.5653	0.9206	0.6832	0.6022
29	0.5550	0.9143	0.6785	0.5983
30	0.5503	0.9096	0.6745	0.5943
31	0.5456	0.9041	0.6706	0.5904
32	0.5432	0.9002	0.6651	0.5825
33	0.5377	0.8970	0.6596	0.5786
34	0.5338	0.8915	0.6549	0.5739
35	0.5314	0.8876	0.6525	0.5653
36	0.5236	0.8805	0.6462	0.5613
37	0.5165	0.8766	0.6392	0.5574
38	0.5134	0.8734	0.6360	0.5519
39	0.5047	0.8711	0.6352	0.5456
40	0.5008	0.8687	0.6321	0.5432
41	0.4945	0.8656	0.6274	0.5425
42	0.4882	0.8585	0.6226	0.5385
43	0.4851	0.8546	0.6148	0.5369
44	0.4803	0.8467	0.6116	0.5322
45	0.4764	0.8412	0.6077	0.5275
46	0.4693	0.8373	0.6022	0.5244
47	0.4670	0.8294	0.6006	0.5212
48	0.4631	0.8247	0.5991	0.5181
49	0.4575	0.8176	0.5904	0.5157
50	0.4513	0.8145	0.5888	0.5118
