# File listing the fraction of multi-nt-all mutations that are found greater than or equal to n times.
# There are 26838 total multi-nt-all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0184	0.9973	0.3781	0.0299
2	0.0024	0.9950	0.2580	0.0041
3	0.0005	0.9921	0.2075	0.0019
4	0.0001	0.9884	0.1766	0.0012
5	0.0001	0.9839	0.1567	0.0006
6	0.0000	0.9786	0.1407	0.0006
7	0.0000	0.9730	0.1290	0.0004
8	0.0000	0.9676	0.1179	0.0004
9	0.0000	0.9608	0.1100	0.0004
10	0.0000	0.9543	0.1038	0.0003
11	0.0000	0.9460	0.0981	0.0003
12	0.0000	0.9372	0.0933	0.0003
13	0.0000	0.9283	0.0895	0.0003
14	0.0000	0.9192	0.0846	0.0003
15	0.0000	0.9097	0.0802	0.0003
16	0.0000	0.9004	0.0768	0.0003
17	0.0000	0.8898	0.0733	0.0003
18	0.0000	0.8785	0.0707	0.0003
19	0.0000	0.8661	0.0682	0.0002
20	0.0000	0.8547	0.0662	0.0002
21	0.0000	0.8425	0.0639	0.0002
22	0.0000	0.8303	0.0623	0.0002
23	0.0000	0.8168	0.0604	0.0002
24	0.0000	0.8031	0.0582	0.0002
25	0.0000	0.7875	0.0566	0.0002
26	0.0000	0.7730	0.0553	0.0002
27	0.0000	0.7572	0.0541	0.0001
28	0.0000	0.7422	0.0527	0.0001
29	0.0000	0.7268	0.0514	0.0001
30	0.0000	0.7120	0.0502	0.0001
31	0.0000	0.6977	0.0490	0.0001
32	0.0000	0.6821	0.0475	0.0001
33	0.0000	0.6677	0.0463	0.0001
34	0.0000	0.6533	0.0454	0.0001
35	0.0000	0.6383	0.0446	0.0001
36	0.0000	0.6253	0.0439	0.0001
37	0.0000	0.6111	0.0428	0.0001
38	0.0000	0.5965	0.0414	0.0000
39	0.0000	0.5818	0.0405	0.0000
40	0.0000	0.5668	0.0396	0.0000
41	0.0000	0.5521	0.0389	0.0000
42	0.0000	0.5369	0.0382	0.0000
43	0.0000	0.5217	0.0376	0.0000
44	0.0000	0.5078	0.0369	0.0000
45	0.0000	0.4941	0.0360	0.0000
46	0.0000	0.4811	0.0354	0.0000
47	0.0000	0.4675	0.0348	0.0000
48	0.0000	0.4557	0.0341	0.0000
49	0.0000	0.4434	0.0337	0.0000
50	0.0000	0.4312	0.0333	0.0000
