# File listing the fraction of multi-nt-syn mutations that are found greater than or equal to n times.
# There are 297 total multi-nt-syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0269	0.9966	0.5657	0.0539
2	0.0067	0.9933	0.4343	0.0000
3	0.0000	0.9933	0.3973	0.0000
4	0.0000	0.9899	0.3434	0.0000
5	0.0000	0.9865	0.3266	0.0000
6	0.0000	0.9663	0.2896	0.0000
7	0.0000	0.9630	0.2727	0.0000
8	0.0000	0.9529	0.2492	0.0000
9	0.0000	0.9495	0.2391	0.0000
10	0.0000	0.9461	0.2256	0.0000
11	0.0000	0.9360	0.2155	0.0000
12	0.0000	0.9360	0.2121	0.0000
13	0.0000	0.9293	0.2020	0.0000
14	0.0000	0.9192	0.1987	0.0000
15	0.0000	0.9057	0.1919	0.0000
16	0.0000	0.8889	0.1852	0.0000
17	0.0000	0.8788	0.1818	0.0000
18	0.0000	0.8620	0.1818	0.0000
19	0.0000	0.8418	0.1751	0.0000
20	0.0000	0.8316	0.1751	0.0000
21	0.0000	0.8316	0.1650	0.0000
22	0.0000	0.8215	0.1650	0.0000
23	0.0000	0.8114	0.1616	0.0000
24	0.0000	0.7946	0.1582	0.0000
25	0.0000	0.7643	0.1582	0.0000
26	0.0000	0.7508	0.1549	0.0000
27	0.0000	0.7374	0.1549	0.0000
28	0.0000	0.7239	0.1549	0.0000
29	0.0000	0.7003	0.1549	0.0000
30	0.0000	0.6902	0.1549	0.0000
31	0.0000	0.6734	0.1515	0.0000
32	0.0000	0.6599	0.1515	0.0000
33	0.0000	0.6465	0.1448	0.0000
34	0.0000	0.6296	0.1448	0.0000
35	0.0000	0.6162	0.1448	0.0000
36	0.0000	0.5926	0.1414	0.0000
37	0.0000	0.5758	0.1380	0.0000
38	0.0000	0.5623	0.1380	0.0000
39	0.0000	0.5522	0.1347	0.0000
40	0.0000	0.5455	0.1313	0.0000
41	0.0000	0.5387	0.1313	0.0000
42	0.0000	0.5219	0.1279	0.0000
43	0.0000	0.5152	0.1279	0.0000
44	0.0000	0.4983	0.1246	0.0000
45	0.0000	0.4815	0.1178	0.0000
46	0.0000	0.4646	0.1178	0.0000
47	0.0000	0.4444	0.1178	0.0000
48	0.0000	0.4377	0.1178	0.0000
49	0.0000	0.4242	0.1111	0.0000
50	0.0000	0.4209	0.1111	0.0000
