# Distribution of insert lengths
# Length Number Fraction
100 1212 0.0002
101 1139 0.0001
102 1159 0.0001
103 1192 0.0001
104 1323 0.0002
105 1529 0.0002
106 1573 0.0002
107 1787 0.0002
108 2469 0.0003
109 2920 0.0004
110 3596 0.0005
111 4609 0.0006
112 6485 0.0008
113 8626 0.0011
114 11548 0.0014
115 15423 0.0019
116 19615 0.0025
117 25358 0.0032
118 30600 0.0038
119 37184 0.0047
120 45532 0.0057
121 55054 0.0069
122 63545 0.0080
123 74102 0.0093
124 84907 0.0107
125 95326 0.0120
126 102258 0.0128
127 108381 0.0136
128 112066 0.0141
129 127087 0.0159
130 135856 0.0170
131 144522 0.0181
132 159355 0.0200
133 159689 0.0200
134 157930 0.0198
135 160838 0.0202
136 158021 0.0198
137 164166 0.0206
138 161359 0.0202
139 169983 0.0213
140 169749 0.0213
141 162181 0.0204
142 157846 0.0198
143 158913 0.0199
144 150403 0.0189
145 151194 0.0190
146 162667 0.0204
147 147774 0.0185
148 153458 0.0193
149 151272 0.0190
150 145945 0.0183
151 141813 0.0178
152 137177 0.0172
153 138037 0.0173
154 137856 0.0173
155 135132 0.0170
156 132647 0.0166
157 137090 0.0172
158 132114 0.0166
159 124250 0.0156
160 127117 0.0160
161 117782 0.0148
162 116305 0.0146
163 126983 0.0159
164 120801 0.0152
165 110014 0.0138
166 114013 0.0143
167 113778 0.0143
168 111793 0.0140
169 105356 0.0132
170 103859 0.0130
171 98040 0.0123
172 94454 0.0119
173 94705 0.0119
174 91543 0.0115
175 87977 0.0110
176 80447 0.0101
177 73041 0.0092
178 69823 0.0088
179 62870 0.0079
180 53844 0.0068
181 54878 0.0069
182 47573 0.0060
183 40479 0.0051
184 36208 0.0045
185 31721 0.0040
186 28045 0.0035
187 23941 0.0030
188 19474 0.0024
189 15424 0.0019
190 12238 0.0015
191 9489 0.0012
192 7531 0.0009
193 6142 0.0008
194 4371 0.0005
195 3210 0.0004
196 2469 0.0003
197 1699 0.0002
198 1176 0.0001
199 869 0.0001
200 720 0.0001
