# Distribution of insert lengths
# Length Number Fraction
100 1553 0.0002
101 1533 0.0002
102 1505 0.0002
103 1460 0.0002
104 1664 0.0002
105 1865 0.0002
106 1981 0.0002
107 2138 0.0003
108 2894 0.0004
109 3262 0.0004
110 3963 0.0005
111 4642 0.0006
112 6876 0.0008
113 8806 0.0011
114 11670 0.0014
115 15769 0.0019
116 19976 0.0024
117 25552 0.0031
118 30473 0.0037
119 37419 0.0046
120 45883 0.0056
121 55674 0.0068
122 64283 0.0079
123 74450 0.0091
124 85891 0.0105
125 96073 0.0117
126 102983 0.0126
127 110586 0.0135
128 114135 0.0139
129 131034 0.0160
130 139106 0.0170
131 148381 0.0181
132 163380 0.0200
133 162834 0.0199
134 161791 0.0198
135 164895 0.0201
136 161469 0.0197
137 166426 0.0203
138 164119 0.0201
139 176983 0.0216
140 176207 0.0215
141 165408 0.0202
142 160720 0.0196
143 163737 0.0200
144 154684 0.0189
145 154089 0.0188
146 169202 0.0207
147 153121 0.0187
148 157878 0.0193
149 155037 0.0189
150 150181 0.0184
151 146178 0.0179
152 140413 0.0172
153 143069 0.0175
154 141066 0.0172
155 138744 0.0170
156 135878 0.0166
157 141013 0.0172
158 135255 0.0165
159 127761 0.0156
160 129554 0.0158
161 120287 0.0147
162 119926 0.0147
163 132251 0.0162
164 124683 0.0152
165 112647 0.0138
166 118019 0.0144
167 117671 0.0144
168 113893 0.0139
169 108355 0.0132
170 106309 0.0130
171 101103 0.0124
172 97113 0.0119
173 97569 0.0119
174 94699 0.0116
175 90947 0.0111
176 82986 0.0101
177 74910 0.0092
178 72475 0.0089
179 64331 0.0079
180 55856 0.0068
181 57552 0.0070
182 49211 0.0060
183 41932 0.0051
184 37784 0.0046
185 33570 0.0041
186 29552 0.0036
187 25166 0.0031
188 20071 0.0025
189 15875 0.0019
190 12882 0.0016
191 10346 0.0013
192 7892 0.0010
193 6414 0.0008
194 4742 0.0006
195 3496 0.0004
196 2579 0.0003
197 1761 0.0002
198 1201 0.0001
199 853 0.0001
200 691 0.0001
