# File listing the fraction of syn mutations that are found greater than or equal to n times.
# There are 1261 total syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.7661	0.9897	0.9342	0.7692
2	0.7454	0.9826	0.9009	0.7542
3	0.7209	0.9786	0.8803	0.7439
4	0.7058	0.9699	0.8644	0.7335
5	0.6820	0.9659	0.8501	0.7129
6	0.6661	0.9596	0.8390	0.7002
7	0.6542	0.9548	0.8200	0.6875
8	0.6416	0.9500	0.8089	0.6796
9	0.6328	0.9453	0.8002	0.6661
10	0.6225	0.9326	0.7875	0.6542
11	0.6154	0.9286	0.7764	0.6463
12	0.6114	0.9199	0.7669	0.6384
13	0.6027	0.9104	0.7581	0.6265
14	0.5995	0.9017	0.7518	0.6186
15	0.5900	0.8945	0.7415	0.6130
16	0.5868	0.8898	0.7312	0.6043
17	0.5837	0.8834	0.7224	0.5956
18	0.5797	0.8739	0.7177	0.5916
19	0.5773	0.8668	0.7137	0.5852
20	0.5741	0.8604	0.7074	0.5813
21	0.5694	0.8549	0.6971	0.5765
22	0.5670	0.8485	0.6907	0.5694
23	0.5591	0.8454	0.6836	0.5630
24	0.5567	0.8390	0.6772	0.5607
25	0.5527	0.8327	0.6709	0.5559
26	0.5432	0.8239	0.6614	0.5504
27	0.5377	0.8176	0.6574	0.5440
28	0.5321	0.8073	0.6495	0.5400
29	0.5282	0.8025	0.6439	0.5353
30	0.5242	0.7906	0.6400	0.5313
31	0.5170	0.7835	0.6328	0.5282
32	0.5107	0.7764	0.6257	0.5202
33	0.5052	0.7684	0.6201	0.5147
34	0.5004	0.7637	0.6138	0.5091
35	0.4980	0.7621	0.6067	0.5028
36	0.4885	0.7526	0.5964	0.4972
37	0.4837	0.7454	0.5892	0.4877
38	0.4790	0.7423	0.5829	0.4830
39	0.4711	0.7399	0.5797	0.4814
40	0.4663	0.7351	0.5726	0.4766
41	0.4600	0.7256	0.5686	0.4695
42	0.4552	0.7209	0.5623	0.4647
43	0.4504	0.7169	0.5567	0.4607
44	0.4473	0.7137	0.5480	0.4568
45	0.4433	0.7090	0.5440	0.4504
46	0.4377	0.7050	0.5385	0.4489
47	0.4338	0.6947	0.5305	0.4465
48	0.4322	0.6883	0.5218	0.4409
49	0.4243	0.6852	0.5170	0.4354
50	0.4219	0.6764	0.5107	0.4282
