# File listing the fraction of multi-nt-syn mutations that are found greater than or equal to n times.
# There are 289 total multi-nt-syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0173	0.9654	0.8131	0.0484
2	0.0000	0.9377	0.7543	0.0104
3	0.0000	0.9273	0.7093	0.0000
4	0.0000	0.9204	0.6644	0.0000
5	0.0000	0.8997	0.6159	0.0000
6	0.0000	0.8824	0.5917	0.0000
7	0.0000	0.8720	0.5848	0.0000
8	0.0000	0.8616	0.5675	0.0000
9	0.0000	0.8512	0.5467	0.0000
10	0.0000	0.8374	0.5260	0.0000
11	0.0000	0.8201	0.5121	0.0000
12	0.0000	0.8131	0.4983	0.0000
13	0.0000	0.8028	0.4740	0.0000
14	0.0000	0.7924	0.4498	0.0000
15	0.0000	0.7820	0.4429	0.0000
16	0.0000	0.7543	0.4291	0.0000
17	0.0000	0.7232	0.4187	0.0000
18	0.0000	0.7163	0.4118	0.0000
19	0.0000	0.7059	0.4014	0.0000
20	0.0000	0.6990	0.3945	0.0000
21	0.0000	0.6747	0.3910	0.0000
22	0.0000	0.6713	0.3772	0.0000
23	0.0000	0.6574	0.3633	0.0000
24	0.0000	0.6471	0.3529	0.0000
25	0.0000	0.6298	0.3460	0.0000
26	0.0000	0.6055	0.3426	0.0000
27	0.0000	0.5986	0.3426	0.0000
28	0.0000	0.5744	0.3426	0.0000
29	0.0000	0.5675	0.3322	0.0000
30	0.0000	0.5640	0.3253	0.0000
31	0.0000	0.5398	0.3080	0.0000
32	0.0000	0.5294	0.3010	0.0000
33	0.0000	0.5225	0.2976	0.0000
34	0.0000	0.5087	0.2941	0.0000
35	0.0000	0.4983	0.2941	0.0000
36	0.0000	0.4913	0.2907	0.0000
37	0.0000	0.4671	0.2872	0.0000
38	0.0000	0.4637	0.2803	0.0000
39	0.0000	0.4533	0.2803	0.0000
40	0.0000	0.4429	0.2768	0.0000
41	0.0000	0.4360	0.2768	0.0000
42	0.0000	0.4152	0.2699	0.0000
43	0.0000	0.4083	0.2699	0.0000
44	0.0000	0.4048	0.2664	0.0000
45	0.0000	0.3945	0.2630	0.0000
46	0.0000	0.3841	0.2595	0.0000
47	0.0000	0.3633	0.2595	0.0000
48	0.0000	0.3599	0.2595	0.0000
49	0.0000	0.3529	0.2595	0.0000
50	0.0000	0.3460	0.2561	0.0000
