# File listing the fraction of all mutations that are found greater than or equal to n times.
# There are 31311 total all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.1556	0.9828	0.6859	0.1647
2	0.1410	0.9700	0.5684	0.1441
3	0.1358	0.9584	0.4940	0.1408
4	0.1317	0.9456	0.4443	0.1389
5	0.1289	0.9314	0.4063	0.1369
6	0.1258	0.9179	0.3764	0.1347
7	0.1229	0.9049	0.3531	0.1328
8	0.1208	0.8913	0.3328	0.1307
9	0.1193	0.8783	0.3162	0.1285
10	0.1180	0.8641	0.3025	0.1266
11	0.1168	0.8498	0.2909	0.1247
12	0.1160	0.8365	0.2803	0.1230
13	0.1149	0.8226	0.2716	0.1215
14	0.1143	0.8074	0.2629	0.1197
15	0.1134	0.7939	0.2559	0.1183
16	0.1129	0.7793	0.2498	0.1169
17	0.1122	0.7661	0.2439	0.1153
18	0.1114	0.7525	0.2380	0.1143
19	0.1109	0.7388	0.2325	0.1135
20	0.1101	0.7267	0.2275	0.1129
21	0.1093	0.7124	0.2228	0.1120
22	0.1084	0.6988	0.2190	0.1113
23	0.1076	0.6850	0.2148	0.1108
24	0.1072	0.6729	0.2112	0.1100
25	0.1066	0.6603	0.2077	0.1088
26	0.1059	0.6479	0.2049	0.1083
27	0.1050	0.6360	0.2021	0.1073
28	0.1042	0.6226	0.1990	0.1064
29	0.1037	0.6108	0.1963	0.1057
30	0.1031	0.5999	0.1939	0.1050
31	0.1023	0.5884	0.1909	0.1041
32	0.1012	0.5767	0.1884	0.1030
33	0.1006	0.5661	0.1861	0.1019
34	0.1000	0.5555	0.1839	0.1011
35	0.0990	0.5440	0.1812	0.1001
36	0.0983	0.5337	0.1790	0.0992
37	0.0973	0.5225	0.1769	0.0981
38	0.0965	0.5131	0.1748	0.0973
39	0.0955	0.5036	0.1726	0.0966
40	0.0946	0.4939	0.1705	0.0959
41	0.0934	0.4840	0.1686	0.0947
42	0.0925	0.4743	0.1664	0.0940
43	0.0915	0.4651	0.1643	0.0929
44	0.0903	0.4557	0.1622	0.0919
45	0.0893	0.4463	0.1607	0.0907
46	0.0884	0.4369	0.1590	0.0897
47	0.0875	0.4281	0.1572	0.0886
48	0.0866	0.4194	0.1562	0.0878
49	0.0855	0.4121	0.1543	0.0871
50	0.0844	0.4042	0.1523	0.0863
