# nread -> total number of read pairs read from the FASTQ files.
nread 16921034
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 650298
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 2013576
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 4497
# nattempted -> number of read pairs we attempted to align
nattempted 14257160
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 13161946
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 13065430
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 13065430
