# Distribution of insert lengths
# Length Number Fraction
100 61178 0.0046
101 66560 0.0051
102 71938 0.0055
103 79858 0.0061
104 94287 0.0072
105 108037 0.0082
106 113370 0.0086
107 118208 0.0090
108 141148 0.0107
109 144626 0.0110
110 144692 0.0110
111 146260 0.0111
112 166449 0.0126
113 171123 0.0130
114 180259 0.0137
115 191496 0.0145
116 195335 0.0148
117 202902 0.0154
118 201211 0.0153
119 204524 0.0155
120 208435 0.0158
121 214938 0.0163
122 212493 0.0161
123 218155 0.0166
124 219019 0.0166
125 218624 0.0166
126 211007 0.0160
127 202733 0.0154
128 195395 0.0148
129 206052 0.0157
130 203263 0.0154
131 205498 0.0156
132 214403 0.0163
133 206371 0.0157
134 197523 0.0150
135 194689 0.0148
136 184935 0.0141
137 189216 0.0144
138 183079 0.0139
139 191719 0.0146
140 194173 0.0148
141 180725 0.0137
142 175198 0.0133
143 178398 0.0136
144 167613 0.0127
145 167442 0.0127
146 183159 0.0139
147 166792 0.0127
148 170098 0.0129
149 167956 0.0128
150 165256 0.0126
151 159088 0.0121
152 156187 0.0119
153 155426 0.0118
154 155778 0.0118
155 151081 0.0115
156 149198 0.0113
157 154617 0.0117
158 148182 0.0113
159 139748 0.0106
160 143286 0.0109
161 131490 0.0100
162 129777 0.0099
163 143554 0.0109
164 136440 0.0104
165 125351 0.0095
166 128138 0.0097
167 126214 0.0096
168 127303 0.0097
169 118688 0.0090
170 119275 0.0091
171 114513 0.0087
172 109351 0.0083
173 111665 0.0085
174 106389 0.0081
175 105792 0.0080
176 97691 0.0074
177 88163 0.0067
178 88679 0.0067
179 80294 0.0061
180 71379 0.0054
181 74315 0.0056
182 66582 0.0051
183 58823 0.0045
184 54719 0.0042
185 50736 0.0039
186 46101 0.0035
187 40584 0.0031
188 35931 0.0027
189 30898 0.0023
190 26126 0.0020
191 22212 0.0017
192 18905 0.0014
193 17135 0.0013
194 14348 0.0011
195 11520 0.0009
196 9405 0.0007
197 7457 0.0006
198 5594 0.0004
